customer_id,full_name,email,segment,mfa_enabled,last_login,account_type
CUST-00017,Nguyen Van A,nguyen.van.a@gmail.com,Retail,False,2026-01-11 19:22:10,Personal
CUST-00402,Pham D,pham.d@enterprise.vn,SME,True,2026-01-12 08:40:03,Corporate
CUST-01088,Vu G,vu.g@yahoo.com,Retail,False,2026-01-09 12:05:55,Personal
CUST-00004,Customer 04,customer04@vietcombank.example,Retail,True,2026-01-06 03:15:00,Corporate
CUST-00005,Customer 05,customer05@vietcombank.example,Retail,True,2026-01-06 22:09:00,Corporate
CUST-00006,Customer 06,customer06@vietcombank.example,VIP,True,2026-01-10 12:27:00,Personal
CUST-00007,Customer 07,customer07@vietcombank.example,VIP,True,2026-01-09 05:31:00,Corporate
CUST-00008,Customer 08,customer08@vietcombank.example,Retail,True,2026-01-06 14:39:00,Personal
CUST-00009,Customer 09,customer09@vietcombank.example,SME,True,2026-01-08 04:12:00,Corporate
CUST-00010,Customer 10,customer10@vietcombank.example,VIP,False,2026-01-11 15:26:00,Corporate
CUST-00011,Customer 11,customer11@vietcombank.example,VIP,True,2026-01-02 18:01:00,Personal
CUST-00012,Customer 12,customer12@vietcombank.example,SME,True,2026-01-05 07:34:00,Corporate
CUST-00013,Customer 13,customer13@vietcombank.example,Retail,False,2026-01-10 23:49:00,Corporate
CUST-00014,Customer 14,customer14@vietcombank.example,Retail,True,2026-01-05 17:52:00,Corporate
CUST-00015,Customer 15,customer15@vietcombank.example,Retail,False,2026-01-09 06:27:00,Personal
CUST-00016,Customer 16,customer16@vietcombank.example,Retail,False,2026-01-01 14:16:00,Corporate
CUST-00017,Customer 17,customer17@vietcombank.example,Retail,False,2026-01-02 07:13:00,Corporate
CUST-00018,Customer 18,customer18@vietcombank.example,VIP,True,2026-01-10 04:50:00,Personal
CUST-00019,Customer 19,customer19@vietcombank.example,Retail,True,2026-01-10 11:34:00,Corporate
CUST-00020,Customer 20,customer20@vietcombank.example,Retail,False,2026-01-12 09:18:00,Corporate
CUST-00021,Customer 21,customer21@vietcombank.example,Retail,True,2026-01-13 13:58:00,Personal
CUST-00022,Customer 22,customer22@vietcombank.example,SME,True,2026-01-12 04:15:00,Personal
CUST-00023,Customer 23,customer23@vietcombank.example,SME,True,2026-01-13 21:25:00,Corporate
CUST-00024,Customer 24,customer24@vietcombank.example,Retail,False,2026-01-11 13:24:00,Corporate
CUST-00025,Customer 25,customer25@vietcombank.example,Retail,True,2026-01-07 16:47:00,Corporate
CUST-00026,Customer 26,customer26@vietcombank.example,SME,False,2026-01-08 10:37:00,Personal
CUST-00027,Customer 27,customer27@vietcombank.example,Retail,False,2026-01-11 21:44:00,Corporate
CUST-00028,Customer 28,customer28@vietcombank.example,Retail,False,2026-01-04 13:52:00,Personal
CUST-00029,Customer 29,customer29@vietcombank.example,VIP,False,2026-01-06 09:21:00,Personal
CUST-00030,Customer 30,customer30@vietcombank.example,VIP,False,2026-01-11 01:02:00,Personal
CUST-00031,Customer 31,customer31@vietcombank.example,VIP,True,2026-01-02 05:28:00,Corporate
CUST-00032,Customer 32,customer32@vietcombank.example,Retail,False,2026-01-04 22:58:00,Personal
CUST-00033,Customer 33,customer33@vietcombank.example,SME,True,2026-01-05 02:41:00,Corporate
CUST-00034,Customer 34,customer34@vietcombank.example,SME,True,2026-01-06 21:57:00,Personal
CUST-00035,Customer 35,customer35@vietcombank.example,Retail,False,2026-01-11 09:46:00,Personal
CUST-00036,Customer 36,customer36@vietcombank.example,VIP,True,2026-01-12 03:00:00,Personal
CUST-00037,Customer 37,customer37@vietcombank.example,VIP,True,2026-01-03 18:14:00,Corporate
CUST-00038,Customer 38,customer38@vietcombank.example,Retail,True,2026-01-12 10:52:00,Personal
CUST-00039,Customer 39,customer39@vietcombank.example,VIP,True,2026-01-08 02:14:00,Corporate
CUST-00040,Customer 40,customer40@vietcombank.example,Retail,True,2026-01-02 10:23:00,Corporate
CUST-00041,Customer 41,customer41@vietcombank.example,Retail,False,2026-01-13 04:41:00,Personal
CUST-00042,Customer 42,customer42@vietcombank.example,Retail,True,2026-01-10 20:10:00,Corporate
CUST-00043,Customer 43,customer43@vietcombank.example,SME,True,2026-01-11 23:09:00,Corporate
CUST-00044,Customer 44,customer44@vietcombank.example,VIP,True,2026-01-02 03:08:00,Personal
